player,matches_played,wins,cb_opportunities,cb_successes,avg_rank,best_rank,win_rate,comeback_rate,ace_rate,df_rate,first_serve_in,first_serve_won,second_serve_won,srv_pts_won,bp_save_rate,ret_pts_won,bp_conv_rate,clutch_index,serve_style_score
Cameron Norrie,439,249,193,41,41.90660592255125,8.0,0.5671981776765376,0.21243523316062177,0.06018400566171267,0.033290870488322716,0.65171974522293,0.7038050560333594,0.5076810534016094,0.6354989384288747,0.6342913776015857,0.37707103949160237,0.4157374960178401,0.9385472475525333,0.43439616492931143
Carlos Alcaraz,358,293,88,39,15.871508379888269,1.0,0.8184357541899442,0.4431818181818182,0.056818181818181816,0.030065545739526932,0.6522157309774864,0.7223223551258944,0.5601761753559357,0.6659304645198062,0.6443057722308893,0.4162320945276916,0.41836734693877553,1.1503387766510462,0.4281234230416995
Carlos Berlocq,313,128,179,31,73.370607028754,37.0,0.40894568690095845,0.17318435754189945,0.04200489627625306,0.03268479147876133,0.6424429841515269,0.6588447653429603,0.4818018018018018,0.5955418116222136,0.5664335664335665,0.38681640204810464,0.4091526959673765,-0.2816025975424244,0.3712706424743774
Carlos Moya,570,371,211,61,28.147368421052633,4.0,0.6508771929824562,0.2890995260663507,0.07209134723661097,0.03279131570649971,0.5828791495878564,0.7327383022294347,0.5244857189136656,0.6458718075762353,0.6477434005109282,0.37918471620570926,0.393515106853353,0.7302852387448828,0.29248148107667465
Casper Ruud,455,298,177,44,30.54725274725275,2.0,0.654945054945055,0.24858757062146894,0.0689246597115857,0.028696933791867756,0.6526312747449643,0.7229331798255325,0.5441763727121465,0.6608386556078952,0.6378269617706237,0.37370242214532867,0.3978562421185372,0.6534449551684143,0.45606628852359765
Cecil Mamiit,113,37,56,4,182.94545454545454,95.0,0.3274336283185841,0.07142857142857142,0.04328235936646641,0.034817039868924086,0.584380120152922,0.6677570093457944,0.483245729303548,0.5910704533042054,0.582716049382716,0.3710850111856824,0.37245696400625977,-0.721135052792554,0.23207827470609999
Cedric Pioline,113,55,63,13,40.93805309734513,5.0,0.48672566371681414,0.20634920634920634,0.09519060283687943,0.05618351063829787,0.5273714539007093,0.753939903341038,0.49917936694021103,0.6335328014184397,0.6176470588235294,0.3694253383625471,0.3785900783289817,-0.04055209257844303,0.20807404352334674
Chris Guccione,108,43,53,6,168.84259259259258,67.0,0.39814814814814814,0.11320754716981132,0.17081673306772907,0.038969123505976096,0.5994770916334662,0.7838006230529595,0.51445446067765,0.6759213147410359,0.6778398510242085,0.2848950866675355,0.2782152230971129,-0.9903920777807627,0.5526613623001775
Christophe Rochus,319,112,192,26,85.26645768025078,38.0,0.3510971786833856,0.13541666666666666,0.024776264162588723,0.03954503372569766,0.6072829872591808,0.6367332123411978,0.4654243376740009,0.5694573028259049,0.5355299722111949,0.38191479698428554,0.3943262411347518,-1.063570442467747,0.24694342869871524
Christopher Eubanks,111,43,68,10,127.03636363636363,29.0,0.38738738738738737,0.14705882352941177,0.12337389844733529,0.03871170793117919,0.6849559378934117,0.7347220094960943,0.5094905094905094,0.6637641628199749,0.6419019316493314,0.3023102310231023,0.3399602385685885,-0.3885386570758308,0.6562411038428888
Christopher Oconnell,152,59,84,9,93.46710526315789,53.0,0.3881578947368421,0.10714285714285714,0.08652667075413857,0.022762109135499694,0.6128142244022072,0.718984492246123,0.49643705463182897,0.6328172900061312,0.6366939146230699,0.3341521394611727,0.33737596471885334,-0.5219582134607166,0.3978147927834844
Corentin Moutet,217,97,114,21,79.11520737327189,30.0,0.4470046082949309,0.18421052631578946,0.031646955759964956,0.03449408672798949,0.6574682435392029,0.6560626249167222,0.4961636828644501,0.6012921594393342,0.5937670858392564,0.3788087497933771,0.3939209726443769,-0.13228546642261826,0.3849881028393868
Cristian Garin,265,136,139,36,92.90188679245283,17.0,0.5132075471698113,0.2589928057553957,0.05195936139332366,0.03812288340590227,0.6161586840832124,0.694802135678392,0.49710108394252583,0.6189163038219642,0.6004119464469619,0.37930706715460294,0.39258114374034003,-0.05077520629272114,0.3291138907896862
Cyril Saulnier,176,71,97,16,100.8409090909091,48.0,0.4034090909090909,0.16494845360824742,0.09245498713918263,0.03929694198342384,0.5622320663046585,0.7337654085652561,0.5160763832218052,0.6384681337525007,0.610726643598616,0.3444291009521041,0.3661691542288557,-0.389781873821078,0.28726585229406343
Damir Dzumhur,322,146,184,37,87.25155279503106,23.0,0.453416149068323,0.20108695652173914,0.028387697254304692,0.033676016414942674,0.6502094174387613,0.6440887500813326,0.5014513788098693,0.5941955408892837,0.5599011939069576,0.3900756938603869,0.4295964125560538,0.004204355684288674,0.35998252423179483
Danai Udomchoke,121,52,63,7,169.86776859504133,79.0,0.4297520661157025,0.1111111111111111,0.04188759278897137,0.044892188052315304,0.6134676564156946,0.6626332469029098,0.4631915866483768,0.5855425945563804,0.5636363636363636,0.359417652411283,0.36666666666666664,-1.1395659532271947,0.3001301821169357
Daniel Altmaier,186,67,111,11,83.64516129032258,44.0,0.3602150537634409,0.0990990990990991,0.0806376619063434,0.031086017934241116,0.6214546662238459,0.7032920051303976,0.4758729601684506,0.6172035868482232,0.6130653266331658,0.3445769916358151,0.37281910009182734,-0.22484251395786603,0.40585316453966686
Daniel Brands,150,57,79,9,111.81333333333333,51.0,0.38,0.11392405063291139,0.10900712191034771,0.03686635944700461,0.6594051110180142,0.7256670902160102,0.5099630996309963,0.6521994134897361,0.6193619361936193,0.3167455221358567,0.31536388140161725,-1.2225702341548943,0.5617850142241128
Daniel Elahi Galan,132,54,67,8,123.43181818181819,56.0,0.4090909090909091,0.11940298507462686,0.06077705827937095,0.02007400555041628,0.6261794634597595,0.6822278032205643,0.4825538233110616,0.6075855689176688,0.5943852855759922,0.36546301688992433,0.39766081871345027,-0.05076509620637895,0.37323845088839763
Daniel Evans,341,158,172,30,76.0674486803519,21.0,0.4633431085043988,0.1744186046511628,0.052786579683131406,0.03668219944082013,0.6046971109040075,0.7035941064052771,0.5070728027159562,0.6259086672879777,0.6097861842105263,0.3717920023873471,0.3998280309544282,0.2390292059207571,0.30291638438338525
Daniel Gimeno Traver,259,89,167,18,88.4015444015444,48.0,0.3436293436293436,0.10778443113772455,0.059153113843712815,0.03872471241570805,0.5903411344704482,0.6935158743490677,0.4865649963689179,0.6087366124553748,0.5751840168243953,0.35446455354464557,0.36363636363636365,-1.0113439294926034,0.28195872663351695
Daniil Medvedev,611,432,214,71,17.98036006546645,1.0,0.707037643207856,0.3317757009345794,0.10357234644050373,0.04915188897455667,0.6172149404608926,0.7525243762795378,0.5093157276338611,0.6594277392272766,0.6306251887647236,0.3968964734528796,0.4279723212413504,1.1135138295603308,0.4464916124492182
David Ferrer,1088,719,428,127,19.71047794117647,3.0,0.6608455882352942,0.2967289719626168,0.03547470988591294,0.03395681339666063,0.629327229104441,0.6857287350956021,0.523958918133483,0.6257650687949861,0.5992212487832013,0.4193437001404996,0.43655937602988026,0.7714350711196243,0.3246628574750381
David Goffin,614,349,311,86,39.16123778501629,7.0,0.5684039087947883,0.2765273311897106,0.0675629896252382,0.04293881007834004,0.5812830827863646,0.7119909667079478,0.5005562297734628,0.6234596654668643,0.5923732828043581,0.39504313013331127,0.40845933796485495,0.12339425533412057,0.27850552757033076
David Nalbandian,560,373,204,65,30.98392857142857,3.0,0.6660714285714285,0.31862745098039214,0.046171014088436324,0.04080066954944902,0.5907611475333613,0.6945023808586832,0.5226381866727262,0.6241688752499186,0.5951871657754011,0.4117913832199547,0.44113785557986873,0.7939852350835128,0.2541123082009383
David Sanchez,188,80,106,19,71.63297872340425,41.0,0.425531914893617,0.1792452830188679,0.030843933798385993,0.030160032827246615,0.6120913691697443,0.651731843575419,0.47602256699576867,0.5835726986732321,0.5720578980490875,0.40146540402294884,0.42133693450371373,0.04220024293816649,0.27220098775272483
Davide Sanguinetti,286,121,161,32,75.3881118881119,42.0,0.4230769230769231,0.19875776397515527,0.0690644900887972,0.029823302538344247,0.5713068436631088,0.7015464322160295,0.4841510618265509,0.6083505247107364,0.582730342498794,0.3700552186113877,0.38696326952922916,-0.4433640012320142,0.25744114135578067
Denis Istomin,470,221,249,46,77.2872340425532,33.0,0.4702127659574468,0.18473895582329317,0.08213546458141674,0.02265409383624655,0.6530876264949402,0.710657217062112,0.5114775834921688,0.641559337626495,0.6181007884813164,0.35404939689833426,0.3810597519729425,0.014014836167250383,0.48656514358726555
